block_name,slice_name,total_true_links,captured_true_links,slice_recall
BLOCK-HYBRID-NAME-POSTAL,overall,17232,638,0.037
BLOCK-HYBRID-NAME-POSTAL,one_match,296,10,0.0338
BLOCK-HYBRID-NAME-POSTAL,multi_match,16936,628,0.0371
BLOCK-HYBRID-NAME-POSTAL,us,10593,633,0.0598
BLOCK-HYBRID-NAME-POSTAL,india,6639,5,0.0008
BLOCK-HYBRID-NAME-POSTAL,s2_links,8318,316,0.038
BLOCK-HYBRID-NAME-POSTAL,s3_links,8914,322,0.0361
BLOCK-HYBRID-NAME-POSTAL,s2_only_entity,623,22,0.0353
BLOCK-HYBRID-NAME-POSTAL,s3_only_entity,702,29,0.0413
BLOCK-HYBRID-NAME-POSTAL,both_sources_entity,15907,587,0.0369
BLOCK-HYBRID-NAME-POSTAL,address_present,17232,638,0.037
BLOCK-HYBRID-NAME-POSTAL,address_missing,0,0,0.0
BLOCK-HYBRID-NAME-POSTAL,name_short,2585,132,0.0511
BLOCK-HYBRID-NAME-POSTAL,name_long,14647,506,0.0345
BLOCK-HYBRID-NAME-NUMERIC,overall,17232,8781,0.5096
BLOCK-HYBRID-NAME-NUMERIC,one_match,296,147,0.4966
BLOCK-HYBRID-NAME-NUMERIC,multi_match,16936,8634,0.5098
BLOCK-HYBRID-NAME-NUMERIC,us,10593,6166,0.5821
BLOCK-HYBRID-NAME-NUMERIC,india,6639,2615,0.3939
BLOCK-HYBRID-NAME-NUMERIC,s2_links,8318,4322,0.5196
BLOCK-HYBRID-NAME-NUMERIC,s3_links,8914,4459,0.5002
BLOCK-HYBRID-NAME-NUMERIC,s2_only_entity,623,318,0.5104
BLOCK-HYBRID-NAME-NUMERIC,s3_only_entity,702,364,0.5185
BLOCK-HYBRID-NAME-NUMERIC,both_sources_entity,15907,8099,0.5091
BLOCK-HYBRID-NAME-NUMERIC,address_present,17232,8781,0.5096
BLOCK-HYBRID-NAME-NUMERIC,address_missing,0,0,0.0
BLOCK-HYBRID-NAME-NUMERIC,name_short,2585,1363,0.5273
BLOCK-HYBRID-NAME-NUMERIC,name_long,14647,7418,0.5065
BLOCK-TFIDF-WORD-TOP25,overall,17232,16210,0.9407
BLOCK-TFIDF-WORD-TOP25,one_match,296,279,0.9426
BLOCK-TFIDF-WORD-TOP25,multi_match,16936,15931,0.9407
BLOCK-TFIDF-WORD-TOP25,us,10593,10148,0.958
BLOCK-TFIDF-WORD-TOP25,india,6639,6062,0.9131
BLOCK-TFIDF-WORD-TOP25,s2_links,8318,7998,0.9615
BLOCK-TFIDF-WORD-TOP25,s3_links,8914,8212,0.9212
BLOCK-TFIDF-WORD-TOP25,s2_only_entity,623,600,0.9631
BLOCK-TFIDF-WORD-TOP25,s3_only_entity,702,651,0.9274
BLOCK-TFIDF-WORD-TOP25,both_sources_entity,15907,14959,0.9404
BLOCK-TFIDF-WORD-TOP25,address_present,17232,16210,0.9407
BLOCK-TFIDF-WORD-TOP25,address_missing,0,0,0.0
BLOCK-TFIDF-WORD-TOP25,name_short,2585,2416,0.9346
BLOCK-TFIDF-WORD-TOP25,name_long,14647,13794,0.9418
