source1_id,source1_name,source1_address,target_id,target_name,target_address,country,failure_diagnosis
S1-627938214,Sunrise Power,"Delhi, East Delhi, 61, 2Nd Floor, Vijay Block, Laxmi Nagar, East Delhi",S2-560151291,सनराइज पावर,"61., EAST DELHI, Delhi",India,High lexical distance / severe noise / missing tokens
S1-717013176,"Audie Swanson, Esq.","3026 Mistie Lane, Ozark, AR",S2-84924849,audieswansonesq.com,"3026 MISTIE LN, OZRK CITY, AR",US,High lexical distance / severe noise / missing tokens
S1-978707901,Modern Marketing Private Limited,"57, Om Shakthi Complex, Garvebhavi Palya, Hosur Rd, Bangalore South, Bangalore, Karnataka",S2-425276386,ಮಾಡರ್ನ್ ಮಾರ್ಕೆಟಿಂಗ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"57, BANGALORE, BANGALORE SOUTH, ಕರ್ನಾಟಕ",India,High lexical distance / severe noise / missing tokens
S1-978707901,Modern Marketing Private Limited,"57, Om Shakthi Complex, Garvebhavi Palya, Hosur Rd, Bangalore South, Bangalore, Karnataka",S3-408496421,ಮಾಡರ್ನ್ ಮಾರ್ಕೆಟಿಂಗ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"57, Bangalore, Bangalore South, ಕರ್ನಾಟಕ",India,High lexical distance / severe noise / missing tokens
S1-864308762,Anand Consultancy Private Limited,"1004-05, Sai Khati House Opp. Harihar Market, Ring Road, Surat, Gujarat",S3-936163401,આણંદ કન્સલ્ટન્સી પ્રાઇવેટ લિમિટેડ,"Hn 174 1004-05, Surat, Ring Road, ગુજરાત",India,High lexical distance / severe noise / missing tokens
S1-947374296,Smile & Co,"No.55, 2Nd Main Road, 1St Cross, Muniswamappa Layout Hosur Road, Bandepalya, Bommanahalli, Bangalore, Karnataka",S2-953000041,UMBRAHALO,"NO B3/55, BANGALORE, BOMMANAHALLI, Karnataka",India,High lexical distance / severe noise / missing tokens
S1-89838033,Village Of Lake Hallie Cardiology Strategic Group,"3502 P, Village Of Lake Hallie, WI",S2-846896073,Quodrexcira,"3502 P, CHIPPEWA FALLS, WI",US,High lexical distance / severe noise / missing tokens
S1-75146762,Regius Decorators Limited,"C/O Lata Sharma Paich, Anand Nagar Royal Oxfard, Etawah, Etawah, Etwah, Uttar Pradesh",S3-628048086,Régius-Decorators,"H.no 0429 C/o Lata Sharma Paihc, Auraiya, उत्तर प्रदेश",India,High lexical distance / severe noise / missing tokens
S1-299894156,Innovative Global Private Limited,"1002C Tower C Iitl Nimbus, Hyde Park Noida Sec 78, Noida, Gautam Buddha Nagar, Uttar Pradesh",S2-615197304,इनोवेटिव ग्लोबल प्राइवेट लिमिटेड,"DOOR NO 1002C TOWER C IITL NIMBUS, NOIDA, NOIDA II SECTOR SIXTY THREE, Uttar Pradesh",India,High lexical distance / severe noise / missing tokens
S1-205193714,Solance Microelectronics LLC,"1598 Sedgefield Street, Unit 1, Durham, NC",S2-186283911,solancemicroelectronicscom,"DURHAM, 1598 SEDGEFIELD STREET, NC",US,High lexical distance / severe noise / missing tokens
S1-205193714,Solance Microelectronics LLC,"1598 Sedgefield Street, Unit 1, Durham, NC",S3-123309627,Verakelo,"1598 Sedgefield St, Unit 1, Durham, North Carolina",US,High lexical distance / severe noise / missing tokens
S1-94649494,Griffen Grifols,"1271 J, Town Of Kinnickinnic, WI",S2-99694657,GG,"1271 J, RIVER FALLS, WI",US,High lexical distance / severe noise / missing tokens
S1-925622547,Shiv Construction Pvt Ltd,"Telangana, Hyderabad, Sai Enclave Habsiguda, 7-102/3, Hyderabad",S3-613300263,శివ్ కన్‌స్ట్రక్షన్ ప్రైవేట్ లిమిటెడ్,"7-102/3, Hyderabad, TG",India,High lexical distance / severe noise / missing tokens
S1-354520368,Classic Seven Logistics Private Limited,"115, Laughing Waters, 12Th Main, 3Rd Cross, Vartur Road, Ramagondanahalli, Bangalore, Karnataka",S3-938813108,ಕ್ಲಾಸಿಕ್ ಸೆವೆನ್ ಲಾಜಿಸ್ಟಿಕ್ಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"115, Bengaluru Urban, KA, Bangalore",India,High lexical distance / severe noise / missing tokens
S1-108389766,Prime Fund LLC,"1004 Hunts Park Road, Unit Apartment D, Farmington, NY",S3-805832060,primefund.com,"001004 Hunts Park Rd, # Apartment D, Farmington, New York",US,High lexical distance / severe noise / missing tokens
S1-708840108,Bangalore Agro Private Limited,"#15, Sree Varu Layout, Keb Quarters Hoodi Whitefield Road, Mahadevapura Post, Bangalore, Karnataka",S2-627883407,Bangalore  Adgoor Private Limited,,India,High lexical distance / severe noise / missing tokens
S1-871536033,Chiropractic Specialists Inc,"805 1060, Lehi, UT",S2-58172006,Chiropractic Strpceialtts Inc,,US,High lexical distance / severe noise / missing tokens
S1-478633482,Dynamic Products Private Limited,"70C/4G, Chhota Baghara, Prayag, Allahabad, Uttar Pradesh",S2-289173248,डायनामिक प्रोडक्ट्स प्राइवेट लिमिटेड,"70C/4G, ALLAHABAD, उत्तर प्रदेश",India,High lexical distance / severe noise / missing tokens
S1-478633482,Dynamic Products Private Limited,"70C/4G, Chhota Baghara, Prayag, Allahabad, Uttar Pradesh",S3-454643908,डायनामिक प्रोडक्ट्स प्राइवेट लिमिटेड,"70C/4G/1, Allahabad, UP",India,High lexical distance / severe noise / missing tokens
S1-478633482,Dynamic Products Private Limited,"70C/4G, Chhota Baghara, Prayag, Allahabad, Uttar Pradesh",S3-49429545,डायनामिक प्रोडक्ट्स प्राइवेट लिमिटेड,"70C/4G/1, Chhota Baghara, Prayag, Allahabad, UP",India,High lexical distance / severe noise / missing tokens
S1-139134771,Hotel International Private Limited,"# 677 1St Floor, Suite# 901, 27Th Main, 13Th Cross Sector1, Hsr Layout, Bangalore, Karnataka",S2-752657055,ಹೋಟೆಲ್ ಇಂಟರ್‌ನ್ಯಾಷನಲ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"677 1ST FLOOR, BANGALORE, Karnataka",India,High lexical distance / severe noise / missing tokens
S1-139134771,Hotel International Private Limited,"# 677 1St Floor, Suite# 901, 27Th Main, 13Th Cross Sector1, Hsr Layout, Bangalore, Karnataka",S2-554128546,ಹೋಟೆಲ್ ಇಂಟರ್‌ನ್ಯಾಷನಲ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"# 677 1ST FLOOR, BANGALORE, Karnataka",India,High lexical distance / severe noise / missing tokens
S1-139134771,Hotel International Private Limited,"# 677 1St Floor, Suite# 901, 27Th Main, 13Th Cross Sector1, Hsr Layout, Bangalore, Karnataka",S3-426304608,ಹೋಟೆಲ್ ಇಂಟರ್‌ನ್ಯಾಷನಲ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"KA, Bangalore, No 677. 1St Floor, Bangalore",India,High lexical distance / severe noise / missing tokens
S1-567591337,Seven Raj Marketing Pvt Ltd,"A/501, Mohan Mansion, A-Wing, Gulmohar Road, Nr. Somaya Grd, Kurla, Ch, Unabhatti, Mumbai, Mumbai City, Maharashtra",S3-373582465,सेवन राज मार्केटिंग प्रा. लि.,"A/501, Mumbai City, महाराष्ट्र",India,High lexical distance / severe noise / missing tokens
S1-541755692,Super Impex LLP,"Hyderabad, Telangana, Plot No 911, Hyderabad, Nandhi Hills, Saroornagar Meerpet",S3-758070287,సూపర్ ఇంపెక్స్ ఎల్‌ఎల్‌పీ,"911, Hyderabad, TG",India,High lexical distance / severe noise / missing tokens
S1-7238004,Sun Agro Private Limited,"Tc 71/3149, C.S.S Hall Killipalam, Chala P O, Thiruvananthapuram, Thiruvananthapuram, Trivandrum, Kerala",S3-613843892,Agroprivatesun.Com,"Trivandrum, KL, Hn 211 Tc 71/3149",India,High lexical distance / severe noise / missing tokens
S1-7238004,Sun Agro Private Limited,"Tc 71/3149, C.S.S Hall Killipalam, Chala P O, Thiruvananthapuram, Thiruvananthapuram, Trivandrum, Kerala",S3-644562275,സൺ അഗ്രോ പ്രൈവറ്റ് ലിമിറ്റഡ്,"KL, Trivandrum, Thiruvananthapuram, Hn 211 Tc 71/3149",India,High lexical distance / severe noise / missing tokens
S1-623461873,Aditya Enterprises,"608, Sakar-9, Near Old Rbi, Ashram Road, Ahmadabad City, Ahmedabad, Gujarat",S3-762952904,આદિત્ય એન્ટરપ્રાઇઝિસ,"ગુજરાત, H.no 267/5 608, Ahmedabad",India,High lexical distance / severe noise / missing tokens
